year,sex,age_lower,age_upper,prop,prop_lower,prop_upper,sd,var,alpha,beta
2020,B,12,17,0.098,0.083,0.114,0.008163415310794465,6.664134953651349e-5,129.8934851702329,1195.5502410566335
2020,M,12,17,0.098,0.077,0.12300000000000001,0.012755336423116355,1.6269860726687873e-4,53.146512325727365,489.16483793679674
2020,F,12,17,0.098,0.079,0.121,0.01173490950926704,1.37708101190686e-4,62.80903252094451,578.0994625907342
2020,B,18,34,0.107,0.094,0.121,0.007142988396945156,5.102228323889313e-5,200.27519285738487,1671.455581510698
2020,M,18,34,0.09300000000000001,0.076,0.114,0.010714482595417732,1.1480013728750948e-4,68.24004545928898,665.523884210485
2020,F,18,34,0.121,0.10300000000000001,0.142,0.010714482595417732,1.1480013728750948e-4,111.98199311549887,813.489024367963
2020,B,35,49,0.076,0.066,0.086,0.005102134569246538,2.603177716270056e-5,204.94357921056258,2491.682463033682
2020,M,35,49,0.067,0.054000000000000006,0.08199999999999999,0.007653201853869804,5.85714986160762e-5,71.4393998524779,994.820299438237
2020,F,35,49,0.084,0.07200000000000001,0.099,0.007653201853869811,5.857149861607631e-5,110.26482413314245,1202.4116536423628
2020,B,50,64,0.079,0.071,0.08800000000000001,0.004591921112321891,2.1085739501787512e-5,272.52045042538,3177.1055043262654
2020,M,50,64,0.062,0.052000000000000005,0.075,0.006632774940020502,4.399370340496397e-5,81.89681957946641,1239.0196252506369
2020,F,50,64,0.095,0.083,0.11,0.007653201853869811,5.857149861607631e-5,139.35208933498598,1327.5120089280244
2020,B,65,Inf,0.08,0.07400000000000001,0.086,0.0030612807415479203,9.371439778572185e-6,628.2119315624184,7224.437212967811
2020,M,65,Inf,0.063,0.054000000000000006,0.073,0.005102134569246538,2.603177716270056e-5,142.79904805596888,2123.8525083879817
2020,F,65,Inf,0.094,0.086,0.10300000000000001,0.004591921112321891,2.1085739501787512e-5,379.56619637686185,3658.3720629514555
