age,prob_death_male,prob_death_female
0,0.00477,0.00427
1,2.7129407272690734e-4,2.3098631155031986e-4
2,1.90962450751789e-4,1.7076845806127575e-4
3,1.5078862450616725e-4,1.3060994845930495e-4
4,1.2064909211558183e-4,1.1053054662379422e-4
5,1.0055304172951231e-4,9.04431715405487e-5
6,8.044971390070494e-5,8.040120199796987e-5
7,8.045699573577922e-5,7.035670851215663e-5
8,8.04634695848085e-5,7.036165892688418e-5
9,8.046913505738455e-5,7.036661003829954e-5
10,9.053506221770664e-5,8.042545063385309e-5
11,1.0060362173038229e-4,8.043111075363951e-5
12,1.1067400468855329e-4,9.049318787391283e-5
13,1.408734151740793e-4,1.1061279488365546e-4
14,1.811503044331505e-4,1.3073867350530497e-4
15,2.415775010820659e-4,1.609301764197059e-4
16,3.3224932795022303e-4,2.011950988873911e-4
17,4.2300332359754256e-4,2.3142092447628437e-4
18,5.138642592294051e-4,2.6166681762829224e-4
19,5.947760516951117e-4,2.919384714504309e-4
20,6.758256168169622e-4,3.121632916108633e-4
21,7.570328350374984e-4,3.424795519561626e-4
22,8.182148773687826e-4,3.5267326333608754e-4
23,8.593149743216466e-4,3.729575533984497e-4
24,8.802905970798636e-4,3.8318039729756984e-4
25,9.013297145114085e-4,3.9341087226251603e-4
26,9.224157155310479e-4,4.036571336306941e-4
27,9.43549368937949e-4,4.139156419730652e-4
28,9.64751043454418e-4,4.2418243884703174e-4
29,9.961779295763193e-4,4.445746733891746e-4
30,0.0010378827192527244,4.750977993874271e-4
31,0.0010695078226857888,4.955501618122977e-4
32,0.0011012542061792597,5.16032418977851e-4
33,0.001122884383740634,5.365458594857259e-4
34,0.0011445857008543514,5.570974211453923e-4
35,0.0011663597298956416,5.675368898978433e-4
36,0.0011779648864032122,5.881458196014805e-4
37,0.0012101198839105333,6.189311768824132e-4
38,0.0012629374075899457,6.599252761533463e-4
39,0.0013262190420380595,7.111580701201857e-4
40,0.0014000267652175703,7.726561070332038e-4
41,0.0014947837202589583,8.546486783468653e-4
42,0.0016002643017169287,9.368444634528829e-4
43,0.0017165784248841826,0.0010294567322393232
44,0.0018438335163355362,0.0011325606072973636
45,0.0019821502698215026,0.0012359803060328096
46,0.002142062410964032,0.0013500107387217854
47,0.0023133916196867543,0.001474744992011798
48,0.0025067630377790077,0.0016102564102564102
49,0.0027119850893175014,0.0017463839579224196
50,0.002950379034459587,0.0018935300958085066
51,0.003211811040205556,0.0020620895153058596
52,0.0034968359445154613,0.0022419903088160844
53,0.0038059495791192247,0.0024334175537422858
54,0.004150393223152809,0.0026469580742601493
55,0.004531027923528217,0.002893361920026644
56,0.004938059557292226,0.0031522692163166465
57,0.005394150583107678,0.0034449540323762853
58,0.005900664909483366,0.0037615315107067055
59,0.006459426725878078,0.004113273216263249
60,0.007061510921730345,0.004511517077045274
61,0.00774216382418652,0.004946861136820605
62,0.008482511090799652,0.00542043085476025
63,0.009297044506649579,0.005955260300772894
64,0.010201302680253274,0.0065532641960356
65,0.011212253227248756,0.007216954945736771
66,0.012313186239840462,0.007949212753826587
67,0.013534929038468311,0.008764464682412494
68,0.014898908762033963,0.00967821064603171
69,0.016404730554112658,0.010696030083991984
70,0.018065926508154844,0.011824420444070149
71,0.019924454672803682,0.013094703382510451
72,0.021975497702909647,0.014517107781356486
73,0.02425689605678645,0.01610458507010231
74,0.02678559488626486,0.01788465241671481
75,0.02961141035506211,0.019876720218619415
76,0.03275229747525524,0.022118029507376843
77,0.03623241446954281,0.024638477963457826
78,0.040131848768854526,0.027476272875045882
79,0.044468357835767754,0.030665336712136733
80,0.0493201503784303,0.03424924215034625
81,0.054718394508997785,0.038300384443708514
82,0.0607412048725651,0.04286505666931174
83,0.06749597771063062,0.04803916967791387
84,0.07503261372722299,0.05388129354541869
85,0.08348498635122839,0.060491854527771026
86,0.09292628443782576,0.06797301044458823
87,0.10351338039730751,0.076460787813876
88,0.11537052862898303,0.08610025342554015
89,0.12869169196798233,0.09705543674946537
90,0.1436208125445474,0.10949171069411551
91,0.15998520368058444,0.12333411269581482
92,0.17740958881488414,0.13828510468062408
93,0.19579764453961457,0.15440266171463943
94,0.21517723414877685,0.1716155007549069
95,0.23558100084817643,0.19104164365403734
96,0.2560332871012483,0.21041851573701098
97,0.2772184936614467,0.23088896575579385
98,0.29868454990972404,0.2521924893186418
99,0.32082413539367183,0.2742444745151105
100,0.3427179209528966,0.29687176299979284
101,0.3649093904448105,0.31958762886597936
102,0.3865110246433204,0.343005630142919
103,0.4080338266384778,0.36561264822134387
104,0.42857142857142855,0.3887733887733888
105,0.45,0.41086587436332767
106,0.4606741573033708,0.4322766570605187
107,0.48936170212765956,0.4517766497461929
108,0.5,0.4722222222222222
109,0.5,0.49122807017543857
110,1,1
