age,percentage
0,0.8
1,1.4
2,1.4
3,1.5
4,1.5
5,1.5
6,1.5
7,1.4
8,1.4
9,1.3
10,1.3
11,1.2
12,1.2
13,1.1
14,1.1
15,1
16,1
17,1
18,0.9
19,1
20,0.9
21,1
22,1.2
23,1.5
24,1.9
25,2.7
26,3.4
27,3.9
28,4
29,4
30,3.9
31,3.8
32,3.6
33,3.4
34,3.2
35,2.9
36,2.6
37,2.3
38,2.1
39,1.9
40,1.7
41,1.5
42,1.4
43,1.3
44,1.2
45,1.1
46,1
47,0.9
48,0.8
49,0.7
50,0.6
51,0.6
52,0.5
53,0.5
54,0.4
55,0.4
56,0.4
57,0.4
58,0.4
59,0.4
60,0.4
61,0.4
62,0.4
63,0.4
64,0.4
65,0.4
66,0.3
67,0.3
68,0.3
69,0.3
70,0.3
71,0.2
72,0.2
73,0.2
74,0.2
75,0.2
76,0.1
77,0.1
78,0.1
79,0.1
80,0.1
81,0.1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
